company_name,website,company_profile,region,distribution_evidence,medical_device_evidence,professional_channel_evidence,direct_fit,manufactures_own_products,conflict_risk,validation_status,approval,source_url,last_verified,notes
Asteria Clinical Supply Ltd,https://asteria.example,https://professional.example/company/asteria,Region North,Yes,Yes,Yes,Yes,No,None,Verified,Approved,https://asteria.example/evidence,2026-08-20,Synthetic direct-fit distributor
Asteria Clinical Supply,https://www.asteria.example/catalog,https://professional.example/company/asteria,Region North,Yes,Yes,Yes,Yes,No,None,Verified,Approved,https://asteria.example/company,2026-08-21,Synthetic alias used to demonstrate entity resolution
Northbridge MedTech Distribution GmbH,https://northbridge.example,https://professional.example/company/northbridge,Region West,Yes,Yes,Yes,No,No,None,Verified,Approved,https://northbridge.example/partners,2026-08-22,Synthetic broad-fit distributor
Cedarline Healthcare Partners,https://cedarline.example,https://professional.example/company/cedarline,Region South,Yes,Yes,Yes,N/A,N/A,N/A,Partially Verified,Pending,https://cedarline.example/catalog,2026-08-18,Synthetic record held for evidence review
Meridian Device Works,https://meridian.example,https://professional.example/company/meridian,Region East,Yes,Yes,Yes,No,Yes,None,Verified,Pending,https://meridian.example/about,2026-08-19,Synthetic own-brand manufacturer
Harbor Comfort Systems,https://harbor.example,https://professional.example/company/harbor,Region North,Yes,Yes,Yes,Yes,No,Confirmed,Verified,Pending,https://harbor.example/portfolio,2026-08-19,Synthetic confirmed-conflict record
Summit Wellness Retail,https://summit.example,https://professional.example/company/summit,Region South,No,Yes,Yes,No,No,None,Verified,Pending,https://summit.example/about,2026-08-17,Synthetic retailer without distribution evidence
Lattice Surgical Supply,https://lattice.example,https://professional.example/company/lattice,Region West,Yes,Yes,Yes,No,No,None,Verified,Pending,https://lattice.example/brands,2026-08-22,Synthetic qualified record awaiting approval
Orchid Medical Channels,https://orchid.example,https://professional.example/company/orchid,Region East,Yes,Yes,Yes,Yes,No,Potential,Verified,Pending,https://orchid.example/products,2026-08-20,Synthetic potential-conflict record
ValeCare Logistics,https://valecare.example,https://professional.example/company/valecare,Region North,Yes,N/A,Yes,No,No,None,Needs Review,Pending,https://valecare.example/services,2026-08-16,Synthetic record with incomplete category evidence
